"location_name","year","hale","le","dalys"
"Syria",1990,60.751826,70.8910041379,37288.6567904
"Syria",2016,58.836545,67.9910753339,43009.3103734
"Tunisia",1990,61.573412,71.6243563406,35783.1898528
"Tunisia",2016,66.611211,77.4600762702,25205.8661536
"Turkey",1990,59.56189,70.0757071814,40739.8234215
"Turkey",2016,67.599654,79.1602599336,23994.5540207
"United Arab Emirates",1990,62.073453,72.5127126453,33608.2520822
"United Arab Emirates",2016,65.081593,75.5134001529,27511.5530084
"Yemen",1990,48.772281,58.6886469252,68593.1685956
"Yemen",2016,55.99559,66.6767465265,47465.967567
"Bangladesh",1990,50.027566,58.0909938208,67229.4608816
"Bangladesh",2016,62.769623,72.6222563458,33318.8406669
"Bhutan",1990,51.335971,59.9176109648,62859.6248501
"Bhutan",2016,63.177348,73.7914380459,32270.4412181
"India",1990,50.77402,58.957230992,64810.3415961
"India",2016,58.885739,68.5452953108,41362.3465312
"Nepal",1990,49.871436,57.6975558619,68041.7618506
"Nepal",2016,61.368144,70.8587600132,35925.7187759
"Pakistan",1990,54.054169,62.4368962426,55387.0502372
"Pakistan",2016,58.626494,67.6076576245,42945.8625525
"Botswana",1990,56.281454,64.4348778686,49454.0923976
"Botswana",2016,56.60196,65.2348437693,47985.7988518
"Lesotho",1990,52.685255,60.4232548426,59892.2723702
"Lesotho",2016,43.818438,50.3067197475,93853.8216626
"Namibia",1990,53.873267,61.4773066263,56787.0373073
"Namibia",2016,56.470321,64.7741900146,48877.9552454
"South Africa",1990,55.756746,64.3498954133,51443.281351
"South Africa",2016,53.829869,62.4367245977,55755.7457898
"Swaziland",1990,54.535103,62.3591560784,54623.1353608
"Swaziland",2016,49.624205,57.4406514357,69112.572861
"Zimbabwe",1990,54.066862,61.606508176,56166.0484346
"Zimbabwe",2016,52.079295,59.2048346302,62455.6381362
"Benin",1990,47.49461,55.5153143966,75301.0976431
"Benin",2016,55.947133,64.4238977691,50227.8193559
"Burkina Faso",1990,43.14188,50.6527859395,90654.2636546
"Burkina Faso",2016,52.928596,60.7931661132,59146.430757
"Cameroon",1990,50.303018,58.448546152,66448.7593921
"Cameroon",2016,52.490414,60.1388753995,60392.8070748
"Cape Verde",1990,59.028874,67.9701314907,42598.6777785
"Cape Verde",2016,64.181533,73.5892524902,30617.614029
"Chad",1990,45.889608,53.2617334995,81413.105435
"Chad",2016,51.715776,59.8301843272,62313.1379583
"Cote d'Ivoire",1990,47.094959,54.7691826889,76909.4576075
"Cote d'Ivoire",2016,52.153464,59.8692914936,61389.290461
"The Gambia",1990,53.20964,61.58241803,58101.7119458
"The Gambia",2016,58.271947,67.3390848949,43802.8227211
"Ghana",1990,51.175832,58.7703273386,64533.6168546
"Ghana",2016,57.922186,66.0055292574,45474.7696267
"Guinea",1990,44.848393,51.9402942513,85522.4596363
"Guinea",2016,52.920412,60.677353421,59198.0541398
"Guinea-Bissau",1990,42.801897,49.157257101,94328.0100445
"Guinea-Bissau",2016,51.386853,58.7524246634,64472.6484303
"Liberia",1990,42.309251,49.8264451841,92568.059225
"Liberia",2016,55.270706,64.3796766547,51099.7040133
"Mali",1990,42.46737,49.3294420442,94030.753077
"Mali",2016,53.692465,61.8445782371,57107.7620058
"Mauritania",1990,51.970734,59.9118362123,61810.7345454
"Mauritania",2016,60.98981,70.1642077509,37833.091503
"Niger",1990,41.029023,47.1371482138,101236.287301
"Niger",2016,54.02368,61.6797090187,56737.8666953
"Nigeria",1990,47.238946,54.8513565501,77129.6000041
"Nigeria",2016,56.283466,65.021908835,50637.4771744
"Sao Tome and Principe",1990,55.090519,63.253585836,53234.9753581
"Sao Tome and Principe",2016,61.650023,70.5953313661,35950.4199261
"Senegal",1990,50.099086,57.5363309471,68059.4579839
"Senegal",2016,57.893363,66.2423197104,45209.8175436
"Sierra Leone",1990,43.682663,50.5183031812,89661.0240257
"Sierra Leone",2016,51.627776,59.1472604582,63220.9139847
"Togo",1990,49.78105,57.387698807,68743.8911085
"Togo",2016,54.869175,62.5878171267,53732.1411995
"Burundi",1990,42.528239,47.9873485107,99613.772878
"Burundi",2016,53.510068,60.3432118312,58755.8614523
"Comoros",1990,51.168656,58.5980530511,64737.2381328
"Comoros",2016,59.288665,67.5403821597,42153.7344891
"Djibouti",1990,53.730853,61.1775578344,57808.331536
"Djibouti",2016,58.580849,66.683167309,43999.3763783
"Eritrea",1990,46.011635,52.3011961828,84116.2479741
"Eritrea",2016,56.158518,63.6612396567,50542.5914066
"Ethiopia",1990,41.101949,46.5684002893,104615.93414
"Ethiopia",2016,57.907694,65.6265819503,45763.8582883
"Kenya",1990,54.094692,61.4253368173,56028.2486104
"Kenya",2016,58.590553,66.842490244,43593.4087735
"Madagascar",1990,48.63319,55.5853989021,73205.7375687
"Madagascar",2016,55.214802,62.6803851967,53274.9251089
"Malawi",1990,42.449974,48.6779379133,95449.0451349
"Malawi",2016,52.713671,60.1773661264,59973.1006711
"Mozambique",1990,44.000914,50.7254521778,88256.0103391
"Mozambique",2016,52.076117,60.016476961,61171.5448108
"Rwanda",1990,43.399561,49.1168541224,94234.1690083
"Rwanda",2016,59.474307,67.7735929513,41635.885325
"Somalia",1990,44.526057,50.5911920528,88943.6394188
"Somalia",2016,50.385766,57.1308794989,68413.6552541
"South Sudan",1990,43.555273,51.5379658498,88086.4087248
"South Sudan",2016,51.667439,59.6983836219,62399.8729542
"Tanzania",1990,47.877245,54.8536324209,75306.2076448
"Tanzania",2016,56.529929,64.290737565,49301.8746104
"Uganda",1990,42.43858,49.1032782899,95587.4794882
"Uganda",2016,54.346122,62.2017366732,54944.2654868
"Zambia",1990,45.79041,52.1208502939,83018.4296023
"Zambia",2016,51.461552,58.6248161566,64460.0654725
"Angola",1990,43.681279,50.1831794359,91138.7824907
"Angola",2016,56.293526,64.6365466458,49378.8001518
"Central African Republic",1990,41.41546,48.0877057462,101032.556586
"Central African Republic",2016,43.654566,50.1646003958,93687.7745459
"Congo",1990,46.816926,54.0259236896,81090.8909381
"Congo",2016,54.63257,62.8873066359,53721.7837589
"Democratic Republic of the Congo",1990,45.805953,53.8215994277,80656.9005204
"Democratic Republic of the Congo",2016,53.10862,61.5576079055,57816.582075
"Equatorial Guinea",1990,41.802794,48.0890461017,99748.0154656
"Equatorial Guinea",2016,56.659542,65.4742429574,48397.033063
"Gabon",1990,51.516928,59.3854186136,63405.2349392
"Gabon",2016,57.583118,66.5275265657,45368.0418484
