measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),97,Argentina,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,25297.269476899997,28425.6944038,22363.9384334
2,DALYs (Disability-Adjusted Life Years),54,Slovakia,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,34372.3824003,37857.725323,31385.3484373
2,DALYs (Disability-Adjusted Life Years),35435,Chiba,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,20703.0866263,23602.6811187,18172.379513699998
2,DALYs (Disability-Adjusted Life Years),35439,Toyama,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,16695.9540813,19620.9151388,14038.810437999999
2,DALYs (Disability-Adjusted Life Years),4658,Michoacán de Ocampo,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,34467.4162865,37747.9882655,31356.7984091
2,DALYs (Disability-Adjusted Life Years),169,Central African Republic,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,101032.556586,108967.392927,93274.1367659
2,DALYs (Disability-Adjusted Life Years),4944,Stockholm,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,17990.2515713,21292.065188,14777.8711242
2,DALYs (Disability-Adjusted Life Years),198,Zimbabwe,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,62455.638136199996,69637.6175407,55807.895543
2,DALYs (Disability-Adjusted Life Years),215,Sao Tome and Principe,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,53234.975358100004,57627.7782677,49097.2277141
2,DALYs (Disability-Adjusted Life Years),176,Comoros,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,42153.734489099996,46717.0512611,37660.3850734
2,DALYs (Disability-Adjusted Life Years),4636,Wales,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,26476.1513324,29758.723309,23526.4691265
2,DALYs (Disability-Adjusted Life Years),114,Haiti,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,78369.231177,85712.285254,71099.0286417
2,DALYs (Disability-Adjusted Life Years),35427,Miyagi,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,20818.9084113,23673.5009803,18258.2201322
2,DALYs (Disability-Adjusted Life Years),42,Central Europe,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,24653.1802349,27852.893267599997,21878.7155265
2,DALYs (Disability-Adjusted Life Years),9,Southeast Asia,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,31345.6067849,34441.4869107,28538.993931200002
2,DALYs (Disability-Adjusted Life Years),4644,Baja California,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,25801.1090811,29143.6216159,22710.7221437
2,DALYs (Disability-Adjusted Life Years),78,Denmark,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,20245.9211885,23505.7966523,17267.7299142
